screen_name,statuses
okomeds,"['#Google #Translate has #limited #usefulness for #medical #phrases used in communications between patients and docto… https://t.co/EDKDpCSKWk', 'Why are #good #references essential for a #medical #translation #agency? \nWhy good references are essential for… https://t.co/dHQQC5dmi6', 'Join us celebrating the #WearYourPajamasToWorkDay\n#MedicalTranslation #Okomeds #Translation for #CROs \n(Descargate… https://t.co/tQdcUmdCTf', '#Medicine is a #science of #uncertainty and an art of probability. William Osler\n#MedicalTranslation #Okomeds… https://t.co/SOW0C0DsI7', 'Are you familiar with #pharmaceutical #translation of #patient #information #leaflets? \n#Typology of a #PIL and mai… https://t.co/G8Xy4IQksK', '@CalamburTrad Thank you Marta', 'Targets for your #healthcare #company \nWhat will your company #earn thanks to a #medical #translation #agency?… https://t.co/cW6cVsY5FC', 'A #cheerful #frame of #mind, reinforced by #relaxation... is the #medicine that puts all ghosts of fear on the run.… https://t.co/lhU7da285S', 'Interesting #Economic #figures about #medical #translation and interpreting \n  Shocking figures about medical trans… https://t.co/GiSnlWaqOT', 'Are you a #medical #translation #student? Just read these #tips! \nTips for medical translation #students… https://t.co/tdN5IOPbWg']"
torontoadultcf,"['Its that time again to vote on the next #TOCF session...Or tweet your suggestions! Other ideas include enzyme manag… https://t.co/euJWjVtMfi', 'Thank you everyone for joining our CFRD talk tonight #TOCF', 'To manage CFRD: get educated, check your blood glucose regularly, eat a variety of foods (don’t restrict), use insu… https://t.co/vR8LizcmcS', 'We’re almost out of time for tonight’s session. In summary, CFRD is a unique form of diabetes where the body cannot… https://t.co/kv1dDMiSa0', 'If you or a family member have recently been diagnosed with CFRD or if you want to learn more about CFRD,… https://t.co/7b03JHyrSa', 'Exercise may help with blood glucose control. Patients with CFRD are recommended to do moderate aerobic exercise fo… https://t.co/dT20tSDSo8', 'CF patients require a high-calorie diet, so carbohydrates and sugary foods generally shouldn’t be restricted in CFR… https://t.co/XiAwhGX38V', '@trivia_club Check blood sugars 2hrs after you are finished eating #TOCF']"
StJoesHospital,"['RT @AmDiabetesAssn ""Skin care is important when living with #diabetes. Learn about common complications/conditions—… https://t.co/msPqTRf6fc', ""Hear @arobach's powerful message about her journey with breast cancer: https://t.co/v1pjyMnH96 https://t.co/ETE0HGFdWI"", 'RT @American_Heart ""Can’t do mornings? We feel that. Prep these on Sunday so you can wake up to breakfast bar bliss… https://t.co/nCPY8VTgbL', 'We are hosting a free Adult Mental Health First Aid class. Learn the common mental health risk factors and warning… https://t.co/93zehJERHS', 'Go ahead, laugh it up! A good laugh has been shown to lower blood pressure and burn a few calories, too. https://t.co/NWoLppn0CJ', 'Responding with optimism to circumstances beyond your control makes you happier as well as healthier. #GoodReminder… https://t.co/CHvSPWFWWs', 'Sometimes the right workout clothes can make or break your workout. With these few simple small changes, you can ge… https://t.co/XKHuyn4XWG', 'RT @mnt ""What is the difference between HDL and LDL cholesterol?   @mntpic.twitter.com/je6LMYTf7j"" https://t.co/Yl4v1WUDk5', ""The best time of day to exercise is whenever you're most likely to do it! Here are some activities you can do any t… https://t.co/IRWDtAbrJe"", 'RT @Fruits_Veggies ""Can food put you in a good mood? Find out from our pal, Marilyn Mills, RD + a Savory Veggie… https://t.co/NPc89xYS0p']"
MpMiles3,"['North American Cannabis Holdings Inc : North American Cannabis Holdings Takes Next Step In Reaction To Recent Acqui… https://t.co/QA9byudSWc', 'Wade LeBlanc gets $650,000 in deal with Mariners #marijuana_seeds https://t.co/W4DUXqg5MZ - 🚀Grow your followers wi… https://t.co/Ipx4UN1LIx', '2018 Preview: Seattle Mariners #marijuana_seeds https://t.co/S30Egbk2ji - Get your [Free] content here: https://t.co/LmUv98lx8y', '#THC, #cbd #cannabisoils  available hit me up asap https://t.co/2CPxsm8jAi', 'Nationals Sign Alejandro De Aza #marijuana_seeds https://t.co/0F8XpmxGtl - 🚀 Grow your followers by posting better… https://t.co/4dadJVyrX1', 'Introducing iaso: A Unique Cannabis Science and Technology Company, Unveiling Two Breakthrough Products at the Terp… https://t.co/gkCFYFFRaJ', ""Costacurta names Conte as a potential Italy's coach #cheap_marijuana https://t.co/8f1ytrFg44 - Get your [Free] cont… https://t.co/3Qv5mZ0R95"", '#aboutlastnight #neworleans #christmas #somuchfun #holiday #beauty #celebrate #ilovechristmas… https://t.co/MRtcH8TjjI', '2018 may be the last season for some of these players #marijuana_seeds https://t.co/LUoQIXKgIH - 🚀Be a thought lead… https://t.co/LU9QSOr6lv', 'Real Madrid 4 Alaves 0 - Post-Match Fascinating Fa #cheap_marijuana https://t.co/6xlELBR0QP - get content from: https://t.co/bWUayDaFWY']"
PodiatryGuide,"['Mesa AZ USA - PGA Practical X-Ray Tech/PTR or #Medical Assistant - #Podiatry Clinic - Mesa Location - Coordinates p… https://t.co/3Am627p1r6', 'Irving TX USA - #Medical Assistant #Podiatry Office - Busy Podiatric practice looking for a motivated bilingual tea… https://t.co/zSIHAjrMmj', 'San Francisco CA USA - #Podiatrist - Blasko #Podiatry a beautiful brand new 8 treatment room facility located in th… https://t.co/90A7QpCE8d', 'Grand Rapids MI USA - Part Time #Podiatrist - ... and #podiatry services to residents at Nursing and Assisted Livin… https://t.co/YzUbHajnOA', 'south east england United Kingdom - #Podiatrist - ... and #Podiatry experience - Have relevant Physiotherapy Qualif… https://t.co/F5qx7Akwra', 'Hobart IN USA - #Medical Assistant - SeniorWell is a pioneer in healthcare innovation providing on-site audiology d… https://t.co/kng1DJFyLj', 'Cheektowaga NY USA - #Medical Assistant - Medical Assistant PT Energetic reliable pleasant MA for fast paced… https://t.co/RakuUxKD65', 'south east england United Kingdom - MSK and Wound Care #Podiatrist required - South East England - The starting pay… https://t.co/IgBdn0zhd6', 'Hobart IN USA - #Medical Assistant - SeniorWell is a pioneer in healthcare innovation providing on-site audiology d… https://t.co/Tpc1PhwZ3U', 'south east england United Kingdom - #Podiatrist - ... and #Podiatry experience - Have relevant Physiotherapy Qualif… https://t.co/VUzxmXeeI0']"
naturopathguide,"['Woodinville WA #USA - #Naturopathic Medical Assistant - Clinical Support Sophia Health Institute is an Integrative… https://t.co/UvjrhUtSeR', 'San Diego CA #USA - Product Support Specialist - Licensed as Registered Dietitian or Naturopath 1 year working as a… https://t.co/qFF8nmrVjm', 'Philadelphia PA #USA - Healthcare - RN / LPN / Paramedics - Must have graduated from a Nursing Paramedic Chiropract… https://t.co/l9wWNnIjJP', 'Tulsa OK #USA - 1099 Medical Reps For US Product Launch - Call points are Primary Care Internal #Medicine Pych OBGY… https://t.co/L1NkVudmA2', 'Denver CO #USA - Car Wash Attendant - Discounts on #naturopathic care such as chiropractic and massage therapy 24 H… https://t.co/96K7IkyI2S', ""Needham MA #USA - Certified Pharmacy Technician (Bird's Hill Pharmacy) - ... and #naturopathic doctor on staff to c… https://t.co/3wlX9YmjKJ"", 'Columbus OH #USA - Outside Sales Representative - Naturopathy Neurology OB - GYN Doctor Referral Institutex27s focu… https://t.co/ub1uojuyIR', 'San Diego CA #USA - Outside Sales Representative - Naturopathy Neurology OB - GYN Doctor Referral Institutex27s foc… https://t.co/8Kl3k2tG4e', 'Fort Lauderdale United States - Paramedic OR Nurse - LPN, LVN or RN (Medical Staff Associate) - Education Graduatio… https://t.co/svYi9qpMFe', 'Grand Prairie United States - Paramedic OR Nurse - LPN, LVN or RN (Medical Staff Associate) - Education Graduation… https://t.co/9zcnahowoA']"
mantranz11,"[""It's so sad seeing Punjabi guys attracting Punjabi women these days. Bad shape. Total lost."", 'I also want a letter from Jagir Singh since he loves writing letters.', 'Punjabi grandparents be going for a jog wearing cheap ass jogging shoes and all they do is walk.']"
8WestSurgery,"['By now you have surely heard about the fat freezing phenomenon sweeping the world, Coolsculpting. In this video, Dr… https://t.co/q445x2XUyx', 'RMS Beauty “Un” Cover-Up. Formulated to reveal and enhance healthier looking skin as it moisturizes and heals while… https://t.co/VcfqbBgfCq', 'Hump reduction computer imaging is essential https://t.co/lSURu1EBO6 #fb', 'Do you have rosacea, sensitive, red or dry/dehydrated and environmentally damaged skin? Image Vital C Hydrating Rep… https://t.co/KqqGpGDfBj', 'Short downtime? No downtime? Lunchtime lift? Wading through the marketing that exists around facelift surgeries can… https://t.co/YstNlIce4e', ""April is Rosacea Awareness Month. Did you know rosacea affects over 16 million Americans? ZO Skin Health's Rozatrol… https://t.co/j6AtiMjVop"", 'Facelift under local anesthetic common https://t.co/6ZKxFahbEu #fb', 'Excellent article for tips on How to Avoid Wasting Time &amp; Money on Rhinoplasty Consultations, https://t.co/gnhCoWiEUD', '#SkinCeuticals Hydrating B5 = a moisture surge for thirsty skin. Packed with hyaluronic acid, this hydrating serum… https://t.co/2pd7z5h3qj', 'Oily and acne prone skin? Luckily, ZO Sulfur Masque absorbs surface oils without clogging pores. Leaving you with a… https://t.co/4P0xRdW7Go']"
KKarepackage,"['Please support @KKarepackage by donating to @Kommute4aKause! The founder of @Kommute4aKause, Will Brien, is running… https://t.co/nuPqdM38gv', 'Congratulations to my amazing friend, Will, for completing his first 2 days of his fundraiser, @Kommute4aKause! Wil… https://t.co/HFM7AB6kLQ', 'Good luck to Will Brien who is running 7 consecutive marathons beginning today across Nova Scotia (Cape Breton – Ha… https://t.co/I7JbpMeCfN', 'Grateful for this amazing experience! Thank you @lorealparisfr for letting me meet so many… https://t.co/jGxI6OFzvd', '(5) School in Turkey, which offers education to nearly 2,000 Syrian refugee children. This money is going to make a… https://t.co/xVjgNA162s']"
8WestSurgery,"['By now you have surely heard about the fat freezing phenomenon sweeping the world, Coolsculpting. In this video, Dr… https://t.co/q445x2XUyx', 'RMS Beauty “Un” Cover-Up. Formulated to reveal and enhance healthier looking skin as it moisturizes and heals while… https://t.co/VcfqbBgfCq', 'Hump reduction computer imaging is essential https://t.co/lSURu1EBO6 #fb', 'Do you have rosacea, sensitive, red or dry/dehydrated and environmentally damaged skin? Image Vital C Hydrating Rep… https://t.co/KqqGpGDfBj', 'Short downtime? No downtime? Lunchtime lift? Wading through the marketing that exists around facelift surgeries can… https://t.co/YstNlIce4e', ""April is Rosacea Awareness Month. Did you know rosacea affects over 16 million Americans? ZO Skin Health's Rozatrol… https://t.co/j6AtiMjVop"", 'Facelift under local anesthetic common https://t.co/6ZKxFahbEu #fb', 'Excellent article for tips on How to Avoid Wasting Time &amp; Money on Rhinoplasty Consultations, https://t.co/gnhCoWiEUD', '#SkinCeuticals Hydrating B5 = a moisture surge for thirsty skin. Packed with hyaluronic acid, this hydrating serum… https://t.co/2pd7z5h3qj', 'Oily and acne prone skin? Luckily, ZO Sulfur Masque absorbs surface oils without clogging pores. Leaving you with a… https://t.co/4P0xRdW7Go']"
